"","Democrat","Republican","Other","Undecided","poll_slug","survey_house","start_date","end_date","question_text","sample_subpopulation","observations","margin_of_error","mode","partisanship","partisan_affiliation","pollWeights","DemocratWeighted","RepublicanWeighted","OtherWeighted","UndecidedWeighted","Dem_pdf","Rep_pdf","Other_pdf","Undec_pdf"
"1",55,42,1,1,"cnn-28940","CNN",2018-11-01,2018-11-03,NA,"Likely Voters",1151,3.5,"Live Phone","Nonpartisan","None",0.00254558161342545,0.1400069887384,0.106914427763869,0.00254558161342545,0.00254558161342545,0.00100382642599271,0.0389993576926682,0.208123813499253,0.00172925508656912
"2",43,40,NA,18,"politico-morning-consult-28936","Politico/Morning Consult",2018-10-30,2018-11-02,"If the election for U.S. Congress in your district was held today, which one of the following candidates are you most likely to vote for?","Registered Voters",1961,2,"Internet","Nonpartisan","None",0.00433699873494988,0.186490945602845,0.173479949397995,NA,0.0780659772290979,0.104257115122093,0.079640764212556,NA,0.0642081586985134
"3",51,44,1,4,"abc-post-28941","ABC/Post",2018-10-29,2018-11-01,"If the election for the U.S. House of Representatives were being held today, would you vote for (the Democratic candidate) or (the Republican candidate) in your congressional district? Would you lean toward the(Democratic candidate) or toward the (Republican candidate)? (IF ALREADY VOTED) Did  you vote for the (Democratic candidate) or the (Republican candidate) in your congressional district?","Likely Voters",737,4,"Live Phone","Nonpartisan","None",0.00162996841797964,0.0831283893169614,0.071718610391104,0.00162996841797964,0.00651987367191854,0.0142404385728495,0.0133702640199214,0.208123813499253,0.00564569996637618
"4",47,42,1,9,"yougov-economist-28934","YouGov/Economist",2018-10-28,2018-10-30,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?","Registered Voters",1296,2.9,"Internet","Nonpartisan","None",0.00286626739443909,0.134714567538637,0.120383230566442,0.00286626739443909,0.0257964065499518,0.0669379474328437,0.0389993576926682,0.208123813499253,0.0241312660731367
"5",49,42,3,6,"ipsos-reuters-28937","Ipsos/Reuters",2018-10-24,2018-10-30,"Thinking about the elections in 2018, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate in your district where you live?","Likely Voters",1383,NA,"Internet","Nonpartisan","None",0.00305867886304727,0.149875264289316,0.128464512247985,0.0091760365891418,0.0183520731782836,0.0354456008166975,0.0389993576926682,0.192109877215763,0.0109118416754458
"6",50,40,5,6,"npr-pbs-newshour-marist-28930","NPR/PBS NewsHour/Marist",2018-10-21,2018-10-23,"If the 2018 election for Congress were held today, which party's candidate are you more likely to vote for in your district:","Registered Voters",738,4.4,"Live Phone","Nonpartisan","None",0.00163218004405559,0.0816090022027796,0.0652872017622237,0.00816090022027796,0.00979308026433355,0.0232559438163395,0.079640764212556,0.0415753310796389,0.0109118416754458
"7",47,41,1,12,"yougov-economist-28921","YouGov/Economist",2018-10-21,2018-10-23,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?","Registered Voters",1233,2.9,"Internet","Nonpartisan","None",0.00272693495165385,0.128165942727731,0.111804333017808,0.00272693495165385,0.0327232194198463,0.0669379474328437,0.0582708529120112,0.208123813499253,0.0422431360860709
"8",49,42,4,5,"ipsos-reuters-28922","Ipsos/Reuters",2018-10-17,2018-10-23,"Thinking about the elections in 2018, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate in your district where you live?","Likely Voters",2062,NA,"Internet","Nonpartisan","None",0.00456037296862145,0.223458275462451,0.191535664682101,0.0182414918744858,0.0228018648431072,0.0354456008166975,0.0389993576926682,0.107136003685952,0.0079514649307849
"9",51,43,2,4,"suffolk-usa-today-28929","Suffolk/USA Today",2018-10-18,2018-10-22,"If November´s election for Congress were held today, which party´s candidate are you more likely to vote for in your congressional district - Democrat or Republican?","Registered Voters",1000,3,"Live Phone","Nonpartisan","None",0.00221162607595609,0.11279292987376,0.0950999212661117,0.00442325215191217,0.00884650430382434,0.0142404385728495,0.0238755649723104,0.239705761033158,0.00564569996637618
"10",45,39,NA,15,"politico-morning-consult-28923","Politico/Morning Consult",2018-10-18,2018-10-19,"If the election for U.S. Congress in your district was held today, which one of the following candidates are you most likely to vote for?","Registered Voters",1968,2,"Internet","Nonpartisan","None",0.00435248011748158,0.195861605286671,0.169746724581781,NA,0.0652872017622237,0.0959077078241896,0.0995656620560544,NA,0.0585364240483771
"11",46,41,2,10,"yougov-economist-28907","YouGov/Economist",2018-10-14,2018-10-16,"If an election for U.S. Congress were being held today, who would you vote for in the district where you live?","Registered Voters",1273,2.6,"Internet","Nonpartisan","None",0.0028153999946921,0.129508399755836,0.115431399782376,0.00563079998938419,0.028153999946921,0.0829380972061917,0.0582708529120112,0.239705761033158,0.0298481373806127
"12",49,42,3,6,"fox-28908","FOX",2018-10-13,2018-10-16,"If the election for Congress were held today, would you vote for the Democratic candidate in your district or the Republican candidate in your district? [IF UNDECIDED: Well, if you had to vote, which way would you lean?]","Likely Voters",841,3,"Live Phone","Nonpartisan","None",0.00185997752987907,0.0911388989640743,0.0781190562549209,0.0055799325896372,0.0111598651792744,0.0354456008166975,0.0389993576926682,0.192109877215763,0.0109118416754458
"13",51,40,4,6,"ipsos-reuters-28910","Ipsos/Reuters",2018-10-10,2018-10-16,"Thinking about the elections in 2018, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate in your district where you live?","Likely Voters",1194,NA,"Internet","Nonpartisan","None",0.00264068153469157,0.13467475826927,0.105627261387663,0.0105627261387663,0.0158440892081494,0.0142404385728495,0.079640764212556,0.107136003685952,0.0109118416754458
"14",44,37,NA,19,"politico-morning-consult-28909","Politico/Morning Consult",2018-10-11,2018-10-14,"If the election for U.S. Congress in your district was held today, which one of the following candidates are you most likely to vote for?","Registered Voters",1959,2,"Internet","Nonpartisan","None",0.00433257548279797,0.190633321243111,0.160305292863525,NA,0.0823189341731615,0.103507238860747,0.119104532870854,NA,0.0628667970386777
