,end_date,Party,Percent,Weighted,pdf
1,11/3/2018,Democrat,55,0.140006989,0.001003826
2,11/2/2018,Democrat,43,0.186490946,0.104257115
3,11/1/2018,Democrat,51,0.083128389,0.014240439
4,10/30/2018,Democrat,47,0.134714568,0.066937947
5,10/30/2018,Democrat,49,0.149875264,0.035445601
6,10/23/2018,Democrat,50,0.081609002,0.023255944
7,10/23/2018,Democrat,47,0.128165943,0.066937947
8,10/23/2018,Democrat,49,0.223458275,0.035445601
9,10/22/2018,Democrat,51,0.11279293,0.014240439
10,10/19/2018,Democrat,45,0.195861605,0.095907708
11,10/16/2018,Democrat,46,0.1295084,0.082938097
12,10/16/2018,Democrat,49,0.091138899,0.035445601
13,10/16/2018,Democrat,51,0.134674758,0.014240439
14,10/14/2018,Democrat,44,0.190633321,0.103507239
15,10/11/2018,Democrat,55,0.091472855,0.001003826
16,10/9/2018,Democrat,47,0.120785747,0.066937947
17,10/9/2018,Democrat,50,0.222489583,0.023255944
18,10/7/2018,Democrat,48,0.232379975,0.050420655
19,10/2/2018,Democrat,45,0.122114934,0.095907708
20,10/2/2018,Democrat,50,0.203469599,0.023255944
21,10/2/2018,Democrat,50,0.104941657,0.023255944
22,9/30/2018,Democrat,49,0.120398712,0.035445601
23,9/29/2018,Democrat,43,0.094434222,0.104257115
24,9/25/2018,Democrat,46,0.125947682,0.082938097
25,9/25/2018,Democrat,48,0.151275224,0.050420655
26,9/24/2018,Democrat,48,0.085138757,0.050420655
27,9/24/2018,Democrat,52,0.165491556,0.008138241
28,9/23/2018,Democrat,43,0.186966445,0.104257115
29,9/23/2018,Democrat,51,0.147533152,0.014240439
30,9/19/2018,Democrat,49,0.088646396,0.035445601
31,9/19/2018,Democrat,44,0.087580393,0.103507239
32,9/18/2018,Democrat,45,0.118930192,0.095907708
33,9/18/2018,Democrat,48,0.138430099,0.050420655
34,9/16/2018,Democrat,43,0.148736277,0.104257115
35,9/11/2018,Democrat,44,0.118720088,0.103507239
36,9/11/2018,Democrat,49,0.218039792,0.035445601
37,9/9/2018,Democrat,52,0.119374729,0.008138241
38,9/9/2018,Democrat,45,0.197852069,0.095907708
39,9/4/2018,Democrat,45,0.124802059,0.095907708
40,9/4/2018,Democrat,44,0.195790833,0.103507239
41,9/2/2018,Democrat,45,0.077528552,0.095907708
42,8/31/2018,Democrat,42,0.182432612,0.098007306
43,8/29/2018,Democrat,52,0.101089005,0.008138241
44,8/28/2018,Democrat,45,0.124304444,0.095907708
45,8/28/2018,Democrat,47,0.303523563,0.066937947
46,8/24/2018,Democrat,44,0.15219526,0.103507239
47,8/21/2018,Democrat,49,0.109345005,0.035445601
48,8/21/2018,Democrat,44,0.1213475,0.103507239
49,8/21/2018,Democrat,41,0.170925521,0.085986242
50,8/19/2018,Democrat,48,0.076964587,0.050420655
51,8/18/2018,Democrat,45,0.196458744,0.095907708
52,8/14/2018,Democrat,44,0.121639434,0.103507239
53,8/14/2018,Democrat,45,0.185113103,0.095907708
54,8/13/2018,Democrat,51,0.132531693,0.014240439
55,8/12/2018,Democrat,42,0.185219261,0.098007306
56,8/12/2018,Democrat,52,0.105919196,0.008138241
57,8/12/2018,Democrat,46,0.406939198,0.082938097
58,8/7/2018,Democrat,44,0.125434585,0.103507239
59,8/7/2018,Democrat,41,0.134110794,0.085986242
60,8/6/2018,Democrat,42,0.185219261,0.098007306
61,7/31/2018,Democrat,44,0.118914711,0.103507239
62,7/31/2018,Democrat,42,0.145927512,0.098007306
63,7/30/2018,Democrat,44,0.193941914,0.103507239
64,7/24/2018,Democrat,44,0.117065791,0.103507239
65,7/24/2018,Democrat,42,0.108214864,0.098007306
66,7/23/2018,Democrat,41,0.180990632,0.085986242
67,7/23/2018,Democrat,51,0.132757278,0.014240439
68,7/22/2018,Democrat,47,0.095942551,0.066937947
69,7/22/2018,Democrat,49,0.100458691,0.035445601
70,7/17/2018,Democrat,45,0.126593477,0.095907708
71,7/17/2018,Democrat,44,0.229363317,0.103507239
72,7/14/2018,Democrat,45,0.198946824,0.095907708
73,7/11/2018,Democrat,48,0.106901158,0.050420655
74,7/10/2018,Democrat,42,0.115738816,0.098007306
75,7/10/2018,Democrat,42,0.185683702,0.098007306
76,7/10/2018,Democrat,47,0.134610621,0.066937947
77,7/3/2018,Democrat,42,0.117317917,0.098007306
78,7/2/2018,Democrat,44,0.219145605,0.103507239
79,7/2/2018,Democrat,47,0.135338246,0.066937947
80,7/1/2018,Democrat,43,0.252204991,0.104257115
81,7/1/2018,Democrat,50,0.10007608,0.023255944
82,6/29/2018,Democrat,43,0.189248843,0.104257115
83,6/26/2018,Democrat,43,0.121537699,0.104257115
84,6/26/2018,Democrat,41,0.108721326,0.085986242
85,6/25/2018,Democrat,45,0.144109555,0.095907708
86,6/24/2018,Democrat,44,0.193552668,0.103507239
87,6/19/2018,Democrat,44,0.123780288,0.103507239
88,6/19/2018,Democrat,42,0.148992825,0.098007306
89,6/18/2018,Democrat,45,0.099523173,0.095907708
90,6/17/2018,Democrat,50,0.099633755,0.023255944
91,6/17/2018,Democrat,48,0.142888738,0.050420655
92,6/13/2018,Democrat,48,0.075478375,0.050420655
93,6/12/2018,Democrat,43,0.124390697,0.104257115
94,6/12/2018,Democrat,45,0.125896814,0.095907708
95,6/12/2018,Democrat,48,0.170702147,0.050420655
96,6/10/2018,Democrat,46,0.069077929,0.082938097
97,6/6/2018,Democrat,48,0.10626421,0.050420655
98,6/5/2018,Democrat,44,0.125726519,0.103507239
99,6/5/2018,Democrat,43,0.1203014,0.104257115
100,6/4/2018,Democrat,44,0.193649979,0.103507239
101,5/30/2018,Democrat,49,0.341364485,0.035445601
102,5/29/2018,Democrat,42,0.11880413,0.098007306
103,5/29/2018,Democrat,39,0.09315369,0.053805083
104,5/29/2018,Democrat,42,0.185312149,0.098007306
105,5/22/2018,Democrat,44,0.131078654,0.103507239
106,5/22/2018,Democrat,43,0.120111201,0.104257115
107,5/22/2018,Democrat,40,0.095542246,0.070407229
108,5/19/2018,Democrat,42,0.184847707,0.098007306
109,5/15/2018,Democrat,42,0.114345491,0.098007306
110,5/15/2018,Democrat,38,0.10841391,0.038374888
111,5/14/2018,Democrat,43,0.190009643,0.104257115
112,5/8/2018,Democrat,44,0.119887826,0.103507239
113,5/8/2018,Democrat,39,0.101002751,0.053805083
114,5/7/2018,Democrat,42,0.185033484,0.098007306
115,5/5/2018,Democrat,47,0.093655729,0.066937947
116,5/1/2018,Democrat,42,0.1182468,0.098007306
117,5/1/2018,Democrat,43,0.127148595,0.104257115
118,5/1/2018,Democrat,43,0.189343943,0.104257115
119,5/1/2018,Democrat,48,0.129618981,0.050420655
120,4/30/2018,Democrat,49,0.073799751,0.035445601
121,4/30/2018,Democrat,46,0.168371093,0.082938097
122,4/24/2018,Democrat,43,0.147309778,0.104257115
123,4/24/2018,Democrat,43,0.1207769,0.104257115
124,4/24/2018,Democrat,45,0.12420492,0.095907708
125,4/23/2018,Democrat,44,0.193941914,0.103507239
126,4/17/2018,Democrat,43,0.1211573,0.104257115
127,4/17/2018,Democrat,44,0.120471696,0.103507239
128,4/13/2018,Democrat,44,0.08047665,0.103507239
129,4/11/2018,Democrat,47,0.089913658,0.066937947
130,4/10/2018,Democrat,44,0.125726519,0.103507239
131,4/10/2018,Democrat,38,0.102446943,0.038374888
132,4/7/2018,Democrat,42,0.185219261,0.098007306
133,4/3/2018,Democrat,43,0.118494502,0.104257115
134,4/3/2018,Democrat,43,0.14445678,0.104257115
135,4/1/2018,Democrat,41,0.181081308,0.085986242
136,3/27/2018,Democrat,41,0.181081308,0.085986242
137,3/27/2018,Democrat,42,0.123541433,0.098007306
138,3/27/2018,Democrat,42,0.124191651,0.098007306
139,3/25/2018,Democrat,50,0.093551783,0.023255944
140,3/25/2018,Democrat,50,0.10096073,0.023255944
141,3/21/2018,Democrat,44,0.098771221,0.103507239
142,3/21/2018,Democrat,46,0.194720406,0.082938097
143,3/20/2018,Democrat,44,0.124948027,0.103507239
144,3/20/2018,Democrat,40,0.118277763,0.070407229
145,3/19/2018,Democrat,42,0.185219261,0.098007306
146,3/13/2018,Democrat,43,0.122773998,0.104257115
147,3/13/2018,Democrat,38,0.118582967,0.038374888
148,3/12/2018,Democrat,43,0.189914543,0.104257115
149,3/8/2018,Democrat,49,0.108369678,0.035445601
150,3/6/2018,Democrat,43,0.124580897,0.104257115
151,3/6/2018,Democrat,38,0.245990322,0.038374888
152,3/5/2018,Democrat,50,0.078291563,0.023255944
153,3/5/2018,Democrat,44,0.193747291,0.103507239
154,2/27/2018,Democrat,40,0.114650696,0.070407229
155,2/27/2018,Democrat,37,0.135101602,0.025543988
156,2/26/2018,Democrat,41,0.180627925,0.085986242
157,2/24/2018,Democrat,47,0.103946426,0.066937947
158,2/23/2018,Democrat,54,0.108559878,0.002160718
159,2/21/2018,Democrat,46,0.083320801,0.082938097
160,2/20/2018,Democrat,43,0.124390697,0.104257115
161,2/20/2018,Democrat,38,0.092782137,0.038374888
162,2/13/2018,Democrat,42,0.118897018,0.098007306
163,2/13/2018,Democrat,39,0.130673927,0.053805083
164,2/12/2018,Democrat,38,0.166822955,0.038374888
165,2/11/2018,Democrat,49,0.074449969,0.035445601
166,2/7/2018,Democrat,49,0.08745433,0.035445601
167,2/6/2018,Democrat,43,0.125531896,0.104257115
168,2/6/2018,Democrat,38,0.26136997,0.038374888
169,2/4/2018,Democrat,42,0.184383266,0.098007306
170,2/1/2018,Democrat,45,0.440290519,0.095907708
171,1/30/2018,Democrat,47,0.073905909,0.066937947
172,1/30/2018,Democrat,42,0.117410805,0.098007306
173,1/30/2018,Democrat,37,0.243935721,0.025543988
174,1/23/2018,Democrat,41,0.117970347,0.085986242
175,1/23/2018,Democrat,38,0.250528579,0.038374888
176,1/21/2018,Democrat,43,0.189914543,0.104257115
177,1/18/2018,Democrat,51,0.095422819,0.014240439
178,1/18/2018,Democrat,51,0.102979945,0.014240439
179,1/16/2018,Democrat,42,0.123262768,0.098007306
180,1/16/2018,Democrat,37,0.13403781,0.025543988
181,1/16/2018,Democrat,41,0.180718602,0.085986242
182,1/15/2018,Democrat,53,0.142417661,0.004340657
183,1/10/2018,Democrat,46,0.111094401,0.082938097
184,1/9/2018,Democrat,44,0.129132423,0.103507239
185,1/9/2018,Democrat,40,0.220454887,0.070407229
186,1/5/2018,Democrat,44,0.193747291,0.103507239
187,1/2/2018,Democrat,42,0.114809933,0.098007306
188,1/2/2018,Democrat,38,0.209432143,0.038374888
189,12/26/2017,Democrat,44,0.120277073,0.103507239
190,12/19/2017,Democrat,44,0.125629208,0.103507239
191,12/19/2017,Democrat,39,0.214943515,0.053805083
192,12/18/2017,Democrat,44,0.193747291,0.103507239
193,12/17/2017,Democrat,56,0.111218252,0.000435248
194,12/12/2017,Democrat,51,0.097227506,0.014240439
195,12/12/2017,Democrat,44,0.129229735,0.103507239
196,12/12/2017,Democrat,51,0.079180637,0.014240439
197,12/12/2017,Democrat,37,0.128637019,0.025543988
198,12/11/2017,Democrat,41,0.177272888,0.085986242
199,12/7/2017,Democrat,50,0.119317227,0.023255944
200,12/5/2017,Democrat,42,0.124191651,0.098007306
201,12/5/2017,Democrat,37,0.128637019,0.025543988
202,12/3/2017,Democrat,40,0.176664691,0.070407229
203,11/28/2017,Democrat,41,0.119058467,0.085986242
204,11/28/2017,Democrat,36,0.125160343,0.015868945
205,11/25/2017,Democrat,42,0.185219261,0.098007306
206,11/22/2017,Democrat,37,0.128637019,0.025543988
207,11/21/2017,Democrat,42,0.123820097,0.098007306
208,11/19/2017,Democrat,43,0.245928396,0.104257115
209,11/15/2017,Democrat,43,0.076270137,0.104257115
210,11/14/2017,Democrat,42,0.118618353,0.098007306
211,11/14/2017,Democrat,38,0.132113695,0.038374888
212,11/11/2017,Democrat,44,0.193941914,0.103507239
213,11/9/2017,Democrat,51,0.09587399,0.014240439
214,11/7/2017,Democrat,40,0.117570042,0.070407229
215,11/7/2017,Democrat,38,0.132113695,0.038374888
216,11/6/2017,Democrat,38,0.167243164,0.038374888
217,11/5/2017,Democrat,51,0.102641566,0.014240439
218,11/1/2017,Democrat,51,0.09970895,0.014240439
219,10/31/2017,Democrat,39,0.110231867,0.053805083
220,10/31/2017,Democrat,40,0.159060147,0.070407229
221,10/30/2017,Democrat,43,0.189248843,0.104257115
222,10/30/2017,Democrat,44,0.165332319,0.103507239
223,10/24/2017,Democrat,50,0.11113421,0.023255944
224,10/24/2017,Democrat,40,0.115889206,0.070407229
225,10/24/2017,Democrat,36,0.187262803,0.015868945
226,10/23/2017,Democrat,42,0.184661931,0.098007306
227,10/16/2017,Democrat,41,0.119693203,0.085986242
228,10/16/2017,Democrat,42,0.184940596,0.098007306
229,10/15/2017,Democrat,54,0.10676846,0.002160718
